Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
118,26,2,65,6,Some Random Commen with Id 118
119,26,2,143,2,Some Random Commen with Id 119
120,26,2,63,7,Some Random Commen with Id 120
121,27,3,84,4,Some Random Commen with Id 121
122,27,3,110,2,Some Random Commen with Id 122
123,27,3,6,3,Some Random Commen with Id 123
124,27,3,140,7,Some Random Commen with Id 124
125,27,3,94,9,Some Random Commen with Id 125
126,27,3,180,7,Some Random Commen with Id 126
127,27,3,82,9,Some Random Commen with Id 127
128,27,3,1,4,Some Random Commen with Id 128
129,28,6,172,2,Some Random Commen with Id 129
130,28,6,5,6,Some Random Commen with Id 130
131,28,6,121,1,Some Random Commen with Id 131
132,29,2,32,0,Some Random Commen with Id 132
133,29,2,22,2,Some Random Commen with Id 133
134,29,2,47,2,Some Random Commen with Id 134
135,29,2,63,2,Some Random Commen with Id 135
136,29,2,84,6,Some Random Commen with Id 136
137,29,2,36,3,Some Random Commen with Id 137
138,29,2,79,5,Some Random Commen with Id 138
139,29,2,154,3,Some Random Commen with Id 139
140,30,6,158,8,Some Random Commen with Id 140
141,30,6,99,8,Some Random Commen with Id 141
142,30,6,97,8,Some Random Commen with Id 142
143,30,6,40,9,Some Random Commen with Id 143
144,30,6,49,8,Some Random Commen with Id 144
145,30,6,107,8,Some Random Commen with Id 145
146,30,6,113,0,Some Random Commen with Id 146
147,30,6,68,8,Some Random Commen with Id 147
148,30,6,105,5,Some Random Commen with Id 148
149,33,2,181,2,Some Random Commen with Id 149
150,33,2,80,6,Some Random Commen with Id 150
151,33,2,109,6,Some Random Commen with Id 151
152,33,2,70,3,Some Random Commen with Id 152
153,33,2,55,2,Some Random Commen with Id 153
154,33,2,27,5,Some Random Commen with Id 154
155,34,4,67,3,Some Random Commen with Id 155
156,34,4,114,0,Some Random Commen with Id 156
157,35,0,103,2,Some Random Commen with Id 157
158,35,0,88,0,Some Random Commen with Id 158
159,35,0,2,5,Some Random Commen with Id 159
160,35,0,55,7,Some Random Commen with Id 160
161,35,0,69,6,Some Random Commen with Id 161
162,35,0,18,0,Some Random Commen with Id 162
163,35,0,191,3,Some Random Commen with Id 163
164,36,6,174,1,Some Random Commen with Id 164
165,36,6,15,7,Some Random Commen with Id 165
166,36,6,129,5,Some Random Commen with Id 166
167,36,6,180,7,Some Random Commen with Id 167
168,36,6,179,2,Some Random Commen with Id 168
169,37,4,12,1,Some Random Commen with Id 169
170,37,4,128,0,Some Random Commen with Id 170
171,37,4,2,6,Some Random Commen with Id 171
172,37,4,127,2,Some Random Commen with Id 172
173,37,4,150,5,Some Random Commen with Id 173
174,37,4,175,9,Some Random Commen with Id 174
175,38,7,113,0,Some Random Commen with Id 175
176,38,7,180,0,Some Random Commen with Id 176
177,38,7,1,8,Some Random Commen with Id 177
178,38,7,110,5,Some Random Commen with Id 178
179,38,7,5,1,Some Random Commen with Id 179
180,39,0,20,6,Some Random Commen with Id 180
181,39,0,109,2,Some Random Commen with Id 181
182,39,0,147,8,Some Random Commen with Id 182
183,39,0,77,8,Some Random Commen with Id 183
184,39,0,138,1,Some Random Commen with Id 184
